# source	GeoNames (https://www.geonames.org) — CC BY 4.0
# généré par	scripts/build-chad-geography.mjs
# colonnes	kind puis champs propres au niveau — voir docs/chad-geography-sources.md
P	01	Batha	إقليم البطحة	2435899
P	02	Wadi Fira	إقليم وادي فيرا	244877
P	05	Guéra	إقليم قيرا	2431555
P	06	Kanem	منطقة كانم	2430873
P	07	Lac	إقليم البحيرة	2429323
P	08	Logone Occidental	إقليم لوقون الغربي	2429060
P	09	Logone Oriental	إقليم لوقون الشرقي	2429058
P	12	Ouadaï	إقليم واداي	242246
P	13	Salamat	إقليم سلامات	242048
P	14	Tandjilé	إقليم تانجيلي	2425287
P	15	Chari-Baguirmi	شاري باقرمي	2434478
P	16	Mayo-Kebbi Est	إقليم مايو كيبي الشرقي	2428132
P	17	Moyen-Chari	إقليم شاري الأوسط	2427315
P	18	Hadjer-Lamis	ولاية حجر لميس	7603251
P	19	Mandoul	ولاية ماندول	7603252
P	20	Mayo-Kebbi Ouest	إقليم مايو كيبي الغربي	7603253
P	21	N’Djaména	انجمينا	7603254
P	22	Barh el Gazel	ولاية بحر الغزال	7603255
L	241786	12		Tara Ganmbir		LOCALITY	13.4131	21.42364	
L	241787	12		Taradona		LOCALITY	13.43341	21.33706	
L	241789	12		Tara		LOCALITY	13.44273	20.78751	
L	241794	25		Taniam		LOCALITY	12.66667	20.3	
L	241796	12		Tanguéné		LOCALITY	13.97497	20.58225	
L	241797	12		Tandjarna		LOCALITY	12.8	21.31667	
L	241798	12		Tandi		LOCALITY	12.9	21.85	
L	241801	25		Tamos		LOCALITY	12.31667	22.03333	
L	241804	13		Tamja		LOCALITY	11.0372	20.1926	
L	241810	02		Tamargo		LOCALITY	14.37722	21.08812	
L	241811	12		Tamam		LOCALITY	13.65205	21.58141	
L	241812	25		Tamadjour		LOCALITY	12.26667	21.85	
L	241813	25		Tamadjour		LOCALITY	12.01667	21.23333	
L	241814	12		Tamadal Houmélan		LOCALITY	13.64186	20.31523	
L	241816	01		Tama Adjéziré		LOCALITY	13.61015	20.04672	
L	241818	28		Talha		LOCALITY	20.21667	21.28333	
L	241820	12		Talbéten		LOCALITY	13.11598	20.76985	
L	241823	12		Talaé		LOCALITY	13.86912	21.2745	
L	241826	12		Taki		LOCALITY	13.30661	22.12146	
L	241829	25		Takanoun		LOCALITY	12.75	20.31667	
L	241837	12		Tagjo		LOCALITY	12.8	21.03333	
L	241839	13		Tafok Bara		LOCALITY	9.9118	20.88091	
L	241840	13		Tafok		LOCALITY	9.97142	20.95645	
L	241843	25		Tafé		LOCALITY	11.9046	20.9802	
L	241844	02		Taéhon		LOCALITY	14.41341	21.03862	
L	241845	12		Tadorna		LOCALITY	13.15557	21.70936	
L	241847	12		Tabéri		LOCALITY	13.31408	22.01523	
L	241848	12		Tabari		LOCALITY	13.35742	22.18665	
L	241849	12		Tabadja		LOCALITY	13.94206	20.3833	
L	241851	25		Taama		LOCALITY	12.03333	22.13333	
L	241852	12		Taalbé		LOCALITY	13.17979	21.06167	
L	241853	12		Swarouaga		LOCALITY	13.39833	21.49946	
L	241857	02		Soyo		LOCALITY	14.2	21.46667	
L	241858	02		Soyo		LOCALITY	14.18752	21.28937	
L	241862	02		Sourna		LOCALITY	14.15419	21.29499	
L	241868	02		Sounta		LOCALITY	14.76705	20.86697	
L	241869	25		Sounta		LOCALITY	12.6	21.55	
L	241871	12		Souniouk		LOCALITY	12.83333	21	
L	241872	12		Sounar		LOCALITY	13.78806	20.69874	
L	241873	12		Soumsoum		LOCALITY	13.14244	21.8765	
L	241877	25		Soumagoum		LOCALITY	11.9898	21.1131	
L	241882	02		Soulak		LOCALITY	14.66355	21.89955	
L	241884	12		Souguin		LOCALITY	13.94456	21.10426	
L	241885	02		Soubé		LOCALITY	14.66667	22.55	
L	241886	02		Souamara		LOCALITY	15.1	21.95	
L	241891	12		Sormon		LOCALITY	12.81667	21.28333	
L	241896	12		Sonboli		LOCALITY	13.12984	21.04191	
L	241898	12		Somoukdour		LOCALITY	12.91667	21.25	
L	241908	02		Sogoni		LOCALITY	14.73333	22.56667	
L	241916	12		Sobi		LOCALITY	13.58235	21.97315	
L	241919	02		Soba		LOCALITY	15.36667	21.78333	
L	241920	12		Soarouaga		LOCALITY	12.7	21.4	
L	241922	12		Sisi		LOCALITY	13.33559	21.61959	
L	241923	12		Sisi		LOCALITY	12.81667	21.78333	
L	241924	25		Sisi		LOCALITY	12.71667	21.83333	
L	241927	12		Siref		LOCALITY	13.68057	21.2853	
L	241928	12		Siref		LOCALITY	13.29176	20.87616	
L	241929	25		Siref		LOCALITY	12.88333	20.25	
L	241930	25		Siref		LOCALITY	12.58333	20.21667	
L	241931	12		Siré		LOCALITY	13.80019	21.32897	
L	241932	12		Sira	سيرا	LOCALITY	13.5186	21.77408	
L	241939	25		Singila		LOCALITY	11.43191	22.50573	
L	241942	02		Siné		LOCALITY	14.60383	21.41644	
L	241943	12		Sinangoun		LOCALITY	14.26231	20.7544	
L	241946	02		Silmara		LOCALITY	14.81667	21.31667	
L	241948	25		Sileha		LOCALITY	12.73333	20.23333	
L	241949	25		Sila Toukougnan		LOCALITY	12.15	21.35	
L	241956	12		Siébé		LOCALITY	13.63131	21.18112	
L	241957	12		Siébat		LOCALITY	13.21519	22.13567	
L	241960	12		Sidada		LOCALITY	13.81224	21.45078	
L	241962	25		Sésabané		LOCALITY	11.7844	21.337	
L	241964	13		Sérir		LOCALITY	11.4309	20.0159	
L	241970	12		Sérdélouk		LOCALITY	12.95	21.51667	
L	241974	02		Serdaba		LOCALITY	15.73333	22.6	
L	241976	02		Sénéré		LOCALITY	14.49351	21.97346	
L	241977	02		Sendi		LOCALITY	14.68333	22.53333	
L	241979	02		Sémeskoul		LOCALITY	14.05	22.08333	
L	241985	02		Sélibé		LOCALITY	15.08333	21.5	
L	241986	12		Sélényou		LOCALITY	13.38181	22.25444	
